Time         Phi1         Phi2         Phi3         Phi4         
1.0000e-10   6.2831e-5    6.2831e-5    6.0127e-5    6.0097e-5    
2.9999e-10   1.8849e-4    1.8849e-4    1.7196e-4    1.7170e-4    
7.0000e-10   4.3982e-4    4.3982e-4    3.6581e-4    3.6447e-4    
1.5000e-9    9.4247e-4    9.4247e-4    6.5899e-4    6.5358e-4    
2.4999e-9    0.0015       0.0015       8.9785e-4    8.8474e-4    
3.5000e-9    0.0021       0.0021       0.0010       0.0010       
4.7499e-9    0.0029       0.0029       0.0011       0.0011       
6.3124e-9    0.0039       0.0039       0.0012       0.0011       
8.2656e-9    0.0051       0.0051       0.0012       0.0012       
1.0707e-8    0.0067       0.0067       0.0013       0.0012       
1.3758e-8    0.0086       0.0086       0.0013       0.0012       
1.6047e-8    0.0100       0.0100       0.0013       0.0012       
1.7192e-8    0.0108       0.0108       0.0014       0.0012       
1.9480e-8    0.0122       0.0122       0.0014       0.0012       
2.4058e-8    0.0151       0.0151       0.0014       0.0012       
3.0924e-8    0.0194       0.0194       0.0015       0.0012       
4.4657e-8    0.0280       0.0280       0.0017       0.0012       
7.2123e-8    0.0453       0.0453       0.0020       0.0011       
1.2705e-7    0.0798       0.0798       0.0027       0.0011       
2.3691e-7    0.1488       0.1488       0.0041       0.0011       
4.5664e-7    0.2868       0.2868       0.0072       0.0010       
5.9397e-7    0.3731       0.3731       0.0093       9.4977e-4    
7.3130e-7    0.4593       0.4593       0.0114       9.0434e-4    
8.6863e-7    0.5455       0.5455       0.0138       8.6446e-4    
1.0059e-6    0.6316       0.6316       0.0162       8.2956e-4    
1.1432e-6    0.7177       0.7177       0.0187       7.9884e-4    
1.2806e-6    0.8037       0.8037       0.0214       7.7190e-4    
1.5552e-6    0.9756       0.9756       0.0270       7.2706e-4    
1.8299e-6    1.1472       1.1472       0.0331       6.9208e-4    
2.1045e-6    1.3185       1.3185       0.0397       6.6458e-4    
2.3792e-6    1.4893       1.4893       0.0467       6.4268e-4    
2.7225e-6    1.7023       1.7023       0.0560       6.2110e-4    
3.0658e-6    1.9144       1.9144       0.0661       6.0408e-4    
3.4092e-6    2.1257       2.1257       0.0768       5.9034e-4    
3.7525e-6    2.3360       2.3359       0.0881       5.7870e-4    
4.0958e-6    2.5451       2.5451       0.1001       5.6862e-4    
4.3104e-6    2.6753       2.6753       0.1079       5.6273e-4    
4.5250e-6    2.8050       2.8049       0.1160       5.5731e-4    
4.7395e-6    2.9341       2.9341       0.1243       5.5191e-4    
4.9541e-6    3.0627       3.0627       0.1328       5.4684e-4    
5.1687e-6    3.1908       3.1908       0.1416       5.4170e-4    
5.5979e-6    3.4451       3.4451       0.1599       5.3191e-4    
6.0270e-6    3.6970       3.6970       0.1792       5.2181e-4    
6.4562e-6    3.9462       3.9461       0.1993       5.1197e-4    
6.8853e-6    4.1925       4.1924       0.2204       5.0160e-4    
7.3145e-6    4.4357       4.4357       0.2423       4.9134e-4    
7.7436e-6    4.6757       4.6757       0.2651       4.8047e-4    
8.1728e-6    4.9124       4.9123       0.2888       4.6964e-4    
8.4410e-6    5.0584       5.0584       0.3039       4.6239e-4    
8.7092e-6    5.2031       5.2031       0.3194       4.5548e-4    
8.9774e-6    5.3463       5.3462       0.3353       4.4800e-4    
9.2457e-6    5.4879       5.4879       0.3514       4.4085e-4    
9.5139e-6    5.6280       5.6280       0.3678       4.3314e-4    
9.7821e-6    5.7665       5.7665       0.3845       4.2574e-4    
1.0050e-5    5.9034       5.9033       0.4015       4.1781e-4    
1.0318e-5    6.0386       6.0385       0.4187       4.1017e-4    
1.0855e-5    6.3037       6.3037       0.4541       3.9409e-4    
1.1391e-5    6.5618       6.5617       0.4905       3.7770e-4    
1.1927e-5    6.8123       6.8123       0.5278       3.6079e-4    
1.2464e-5    7.0552       7.0551       0.5662       3.4359e-4    
1.3000e-5    7.2900       7.2899       0.6054       3.2592e-4    
1.3537e-5    7.5165       7.5165       0.6455       3.0799e-4    
1.4073e-5    7.7345       7.7344       0.6863       2.8964e-4    
1.4610e-5    7.9437       7.9436       0.7279       2.7106e-4    
1.4945e-5    8.0699       8.0698       0.7543       2.5914e-4    
1.5280e-5    8.1925       8.1924       0.7809       2.4738e-4    
1.5615e-5    8.3115       8.3114       0.8077       2.3525e-4    
1.5951e-5    8.4268       8.4267       0.8348       2.2328e-4    
1.6286e-5    8.5383       8.5382       0.8620       2.1097e-4    
1.6621e-5    8.6461       8.6460       0.8895       1.9880e-4    
1.6957e-5    8.7500       8.7499       0.9171       1.8632e-4    
1.7292e-5    8.8500       8.8499       0.9449       1.7399e-4    
1.7627e-5    8.9461       8.9460       0.9729       1.6137e-4    
1.7962e-5    9.0383       9.0382       1.0010       1.4889e-4    
1.8298e-5    9.1264       9.1263       1.0293       1.3615e-4    
1.8968e-5    9.2905       9.2904       1.0860       1.1090e-4    
1.9639e-5    9.4380       9.4379       1.1431       8.5068e-5    
2.0309e-5    9.5689       9.5688       1.2004       5.9523e-5    
2.0980e-5    9.6827       9.6826       1.2578       3.3484e-5    
2.1650e-5    9.7794       9.7792       1.3152       7.8155e-6    
